  Address      Symbol Name          Binary     

    FF6   Buck2VoltageHistory                  
    FF6   [0]                  01010110 00001101
    FF8   [1]                  11110000 00011011
    FFA   [2]                  01100011 11111000
    FFC   [3]                  00111010 01001000
    FFE   [4]                  00100000 11000111
    026   ACCAU                00000000 00000000
    024   ACCAH                00000000 00000000
    022   ACCAL                00000000 00000000
    004   WREG2                00000000 00000000
    006   WREG3                00000000 00000000
    008   WREG4                00000000 00000000
    00A   WREG5                00000000 00000000
